Energy,Coeff
0.00842,91520.75284734933
0.00854,86399.96892085047
0.0107,35818.92135824163
0.0114,25816.14190561988
0.0122,18334.078251850322
0.0131,13178.58194151121
0.014,10390.329984849937
0.0149,8908.444540268345
0.016,8032.912793828194
0.0171,7896.194591887399
0.0182,8070.738813858416
0.0195,8506.174168700347
0.0208,9025.805268620856
0.0223,9525.49696631502
0.0238,9940.849447588893
0.0255,10208.849275409133
0.0272,10516.69104994187
0.0291,10647.299349414747
0.0311,10691.149678811827
0.0332,10647.29934941475
0.0355,10513.804548252368
0.038,10231.38650806272
0.0406,9900.3887356023
0.0434,9616.709140185767
0.0464,9159.554322493672
0.0496,8609.31314672634
0.053,8050.694917914346
0.0567,7583.235596877434
0.0606,6976.559178378641
0.0648,6455.794519269193
0.0692,5859.408954557503
0.0716,5584.060307595604
0.0727,5502.812603602262
0.073,5451.932641633921
0.0735,5404.432217887949
0.074,5352.9008672764985
0.0746,5291.635389596969
0.0791,29914.284349855086
0.0846,88093.10191642048
0.0904,119461.53852993311
0.0967,125598.57230042754
0.103,126489.70621552695
0.11,125291.52657881848
0.115,123095.33694523727
0.117,122027.67046313241
0.118,121364.82299772532
0.118,121364.82299772532
0.118,121364.82299772532
0.12,119526.70532071812
0.126,125803.67478932165
0.135,114539.71903150952
0.144,103571.40669828959
0.154,93560.59444487664
0.165,82303.30699646565
0.176,73616.35764456853
0.188,64103.5740487816
0.201,56196.88430617372
0.215,49180.010599126814
0.23,42182.37555516023
0.246,36698.11881570359
0.263,31347.75229552189
0.281,27021.583001160696
0.301,23313.91952184158
0.321,19883.234551724432
0.343,17073.06635751916
0.367,14534.5136303666
0.392,12507.422759761934
0.42,10519.578238321441
0.448,9035.64966696695
0.479,7645.441419938246
0.512,6492.837861968341
0.548,5431.105439508041
0.586,4616.075135446396
0.626,3902.601933466778
0.669,3264.6151463163005
0.715,2767.9818656566763
0.765,2333.2954362126407
0.818,1942.5041670273838
0.874,1635.0293264946574
0.934,1382.1033662826708
0.999,1162.8452200725358
1.07,970.0701774956393
1.14,811.8264737755196
1.22,680.3039970564136
1.3,578.3729404168945
1.39,482.94852127676717
1.49,400.80613802819687
1.53,371.35120890921485
1.55,357.25180086152756
1.56,351.24904132398103
1.57,4072.912127957008
1.59,3959.4000358046405
1.59,3959.4000358046405
1.7,3332.405523720497
1.82,2816.0903625980663
1.95,2366.5661114066324
2.08,1989.2762804239312
2.22,1691.352047703757
2.38,1424.8589766000696
2.54,1204.2837730130805
2.72,993.8895810771886
2.9,839.8278637474536
3.11,702.4755652589215
3.32,588.722328618496
3.55,490.7082033975721
3.79,406.4477717756418
4.06,337.99745961085904
4.33,283.68825640339185
4.63,235.55640851549438
4.95,195.14166179868175
5.3,159.8210129655003
5.66,132.9161829008837
6.05,109.69353892713734
6.47,91.98701291681435
6.92,76.25194091662752
7.39,62.20517742172639
7.9,51.04948321418399
8.45,41.85894049567116
9.03,34.34961281429722
9.65,28.055148859275807
10.3,23.178680496810397
11.0,19.06491322479704
11.8,15.284889068281101
12.6,12.675970238002325
13.5,10.271209588901142
14.4,8.53876878748899
15.4,6.960043029150783
16.5,5.722355881640477
17.6,4.717893189603981
18.8,3.857776811613832
20.1,3.165360963750127
21.5,2.609870106887209
23.0,2.1480668797901616
24.6,1.7693759206309234
26.3,1.4671287529067427
28.1,1.1965744637847584
30.0,1.0122445020453403
32.1,0.8337979823876351
34.3,0.7027753520684836
36.7,0.5912499676193091
39.2,0.4968295550556713
41.9,0.424260019834384
44.8,0.3611045931715066
47.9,0.3082228762098085
51.2,0.26755120470426674
54.7,0.2338322924203253
58.5,0.2074418069558449
62.5,0.1872391428845859
66.8,0.16902494921411906
71.5,0.15464666656541903
76.4,0.14313714062566932
81.7,0.13226518267192305
87.3,0.12430266537076165
93.3,0.11500766539903196
99.8,0.10899525198817234
107.0,0.10328390948175482
114.0,0.09873226299885993
122.0,0.09456502450824608
130.0,0.0903648102578837
139.0,0.08722080325912084
149.0,0.08304695266901643
159.0,0.08135784302407466
170.0,0.07914720328582672
182.0,0.07618274163473124
194.0,0.07478474887922883
208.0,0.07276525701572428
222.0,0.07088032851853818
237.0,0.06915164208793029
254.0,0.06694901569630123
271.0,0.06513724145042282
290.0,0.06311513561527891
310.0,0.061904626821301476
332.0,0.060267435771181814
354.0,0.058609084616126544
379.0,0.05666422020487091
405.0,0.055132400803369515
433.0,0.05367800393691327
