Energy,Coeff
0.008417543,91492.41724
0.008543178,86649.08796
0.01069,36323.57959
0.01142761,26194.53766
0.01221612,18646.35604
0.01305903,13241.55396
0.0139601,10668.23208
0.01492335,8894.527947
0.01595306,8229.039291
0.01705382,8118.333623
0.01823053,8374.356028
0.01948844,8565.92375
0.02083314,9199.982939
0.02227063,9727.419113
0.0238073,10090.89514
0.02545001,10629.32166
0.02720606,10629.59355
0.02908327,10874.64839
0.03109002,11065.01069
0.03323523,11045.57663
0.03552846,10756.6475
0.03797993,10338.29318
0.04060054,10158.45442
0.04340198,9841.794388
0.04639671,9334.287163
0.04959809,8677.521225
0.05302035,8274.938104
0.05667876,7652.824283
0.06058959,7133.85662
0.06477028,6450.854053
0.06923942,5969.089702
0.071638,5718.750581
0.0727345,5585.865212
0.0730269,5565.4584
0.0734655,5516.516546
0.07401695,5532.822219
0.074562,5374.783927
0.07912411,30558.34151
0.08458368,91726.56574
0.09041995,120799.7138
0.09665893,128584.8131
0.1033284,131665.7838
0.1104581,129527.962
0.115346,123551.2618
0.1171115,123319.1933
0.1175823,124662.2022
0.1180797,123048.8028
0.1182885,124521.7863
0.120054,119194.4369
0.1262272,127793.5098
0.1349368,114541.8363
0.1442475,107861.8874
0.1542005,95277.7586
0.1648404,84131.9931
0.1762144,75167.31726
0.1883732,64702.11229
0.2013709,57389.18832
0.2152655,50198.56963
0.2301188,43604.77735
0.245997,37059.00768
0.2629708,32682.02283
0.2811158,28243.13116
0.3005128,24100.32185
0.3212482,20736.64898
0.3434143,17455.32406
0.3671099,15031.46304
0.3924405,12813.67391
0.4195189,10854.24296
0.4484657,9122.371482
0.4794098,7786.686579
0.5124891,6640.61271
0.5478508,5648.707402
0.5856525,4634.600528
0.6260625,3988.830978
0.6692609,3352.327261
0.7154399,2834.754529
0.7648052,2364.623769
0.8175768,1966.232393
0.8739896,1694.894188
0.9342948,1389.767397
0.9987612,1195.912752
1.067676,986.5393366
1.141345,849.0881875
1.220098,680.3788474
1.304285,587.7728854
1.394281,486.868849
1.490486,403.4516467
1.528408,385.8684321
1.551802,370.182645
1.55804,368.1356908
1.567398,4164.835607
1.590792,4097.853887
1.593329,3931.682205
1.703269,3496.81971
1.820795,2915.833392
1.94643,2373.392443
2.080733,2100.183732
2.224304,1757.199463
2.377781,1423.678536
2.541848,1223.762186
2.717235,1019.213651
2.904724,855.1996366
3.10515,713.0875479
3.319406,592.9316517
3.548445,496.7983944
3.793288,426.7500291
4.055024,343.0825356
4.334821,285.3665296
4.633924,244.8153338
4.953664,197.27651
5.295467,162.5153225
5.660855,136.0283354
6.051453,112.3512944
6.469004,92.29505204
6.915365,77.65529249
7.392525,63.38340003
7.902609,53.57973003
8.44789,42.87066281
9.030794,35.02191052
9.653919,29.01352564
10.32004,24.05389243
11.03212,19.50076486
11.79334,15.72408776
12.60708,13.11729852
13.47697,10.30618597
14.40688,8.706738178
15.40095,7.075200672
16.46362,5.804381075
17.59961,4.897087488
18.81398,3.965787184
20.11215,3.215515262
21.49988,2.640436265
22.98338,2.166337373
24.56923,1.825818623
26.2645,1.47820583
28.07676,1.209997524
30.01405,1.019311619
32.08502,0.853215935
34.29889,0.701806055
36.66551,0.589749426
39.19543,0.508118192
41.89992,0.426224902
44.79101,0.371081858
47.88159,0.31485148
51.18542,0.277412794
54.71721,0.24131324
58.4927,0.218093231
62.5287,0.189473788
66.84318,0.171941515
71.45536,0.158433985
76.38578,0.146128879
81.6564,0.134668312
87.29069,0.127477359
93.31374,0.118226771
99.75239,0.107218692
106.6353,0.105082497
113.9931,0.101550842
121.8587,0.095411645
130.2669,0.094492125
139.2553,0.092554651
148.864,0.088169381
159.1356,0.086555457
170.1159,0.081829956
181.8539,0.07949344
194.4018,0.078701771
207.8156,0.076902377
222.1548,0.074430927
237.4835,0.070772515
253.8699,0.07149006
271.3869,0.068605277
290.1126,0.068416806
310.1304,0.065241559
331.5294,0.062913979
354.4049,0.062158915
378.8588,0.059797719
405.0001,0.057287114
432.9451,0.056031073
