Energy,Coeff
0.00511,482580.6093162222
0.00518,482580.60931622225
0.0107,199707.53591182255
0.0111,173808.45190030144
0.0113,160118.90793425363
0.0113,160118.90793425363
0.0114,154600.588125887
0.0114,154600.588125887
0.0116,144060.95733476224
0.0122,114739.81219797929
0.0131,81517.53660327202
0.014,57450.306238400226
0.0149,41599.44532923882
0.016,28505.921268997092
0.0171,20656.892647124234
0.0182,15945.901416640838
0.0195,12800.090750997531
0.0208,11407.100652374758
0.0223,10771.82276860262
0.0238,10813.255784163097
0.0255,11204.774701763312
0.0272,11752.208487425572
0.0291,12372.018975323852
0.0311,12866.04657882327
0.0332,13222.996942485424
0.0355,13555.00401274375
0.038,13681.045019607247
0.0406,13681.045019607247
0.0434,13555.004012743753
0.0464,13246.16327389867
0.0496,12751.145189077995
0.053,12210.01234219656
0.0567,11556.221314209966
0.0606,10987.199689859593
0.0648,10239.95849432197
0.0692,9457.6333326322
0.074,8677.217702095062
0.0791,8029.671721217253
0.0846,7263.173097301009
0.0904,6658.70512526203
0.0967,5972.810335928013
0.0972,5921.755866093087
0.0987,5849.273375692374
0.0991,5815.908221812105
0.0997,5755.983764768047
0.101,5613.247102059712
0.103,5448.262452722097
0.11,63572.19665781859
0.118,98134.38410389694
0.126,96650.61700292904
0.135,94387.66998782016
0.144,90007.76302333522
0.146,89075.87246978945
0.148,88079.91766459514
0.149,87693.88861724963
0.149,87693.88861724963
0.152,85549.41958866635
0.154,84167.79941333758
0.165,84961.68909456203
0.176,77603.29221957384
0.188,69017.09768518303
0.201,61553.958215309256
0.215,53622.3488249656
0.23,47032.997690168464
0.246,41026.70790068196
0.263,35217.836328987185
0.281,30600.367392699016
0.301,26350.863566280394
0.321,22567.18568372377
0.343,19471.256412349678
0.367,16669.384139618072
0.392,14136.508560052225
0.42,11989.865164660203
0.448,10366.143807990507
0.479,8715.900493396039
0.512,7481.071869772996
0.548,6285.1922686867865
0.586,5348.448857569526
0.626,4476.751571115817
0.669,3825.6607179396137
0.715,3204.014674169181
0.765,2711.058945423158
0.818,2258.9634640611403
0.874,1908.259300446085
0.934,1605.886408929382
0.999,1355.4109768957258
1.07,1119.6744814936899
1.14,959.319379711942
1.22,794.8509292886781
1.3,676.5572485684737
1.39,560.6392344702651
1.49,469.5230375010563
1.59,392.5192215299332
1.7,328.9038278968284
1.8,279.9178973447031
1.82,274.3259517147485
1.83,269.4086519177442
1.84,265.27126212277096
1.85,2817.777136345176
1.88,2765.872138474909
1.95,2559.788924604248
2.08,2171.7222320149826
2.22,1818.3633245791216
2.38,1522.0399727635538
2.54,1299.3483348772625
2.72,1089.08444700446
2.9,915.4103904680538
3.11,762.556920258533
3.32,644.9484746242487
3.55,540.2256442922671
3.79,448.77011135233295
4.06,371.8729480814837
4.33,313.6819427707417
4.63,261.61780712776425
4.95,217.36992091393034
5.3,179.57421293429425
5.66,148.59415200031566
6.05,123.10664927754091
6.47,101.6945650848431
6.92,84.48148428373581
7.39,69.31780410648125
7.9,57.65370464745827
8.45,47.10282362411224
9.03,38.97381946797588
9.65,32.58655708606701
10.3,26.998797747786153
11.0,22.216710511684553
11.8,17.888571674860344
12.6,14.79177120588732
13.5,11.899644502153365
14.4,9.85908810686277
15.4,8.041332573587555
16.5,6.530568909730542
17.6,5.371170858987865
18.8,4.377857188698013
20.1,3.6032519699155325
21.5,2.9377147215172483
23.0,2.4157760858617237
24.6,1.993842145044996
26.3,1.6428226696999952
28.1,1.3659574811775292
30.0,1.131933166716663
32.1,0.9435479747946967
34.3,0.7904373442634323
36.7,0.6588854347738385
39.2,0.5543480161733141
41.9,0.4742206954204995
44.8,0.40510890962139295
47.9,0.34455828139462685
51.2,0.2962862414705561
54.7,0.25484842108867956
58.5,0.22065766006747434
62.5,0.19679843439210565
66.8,0.1752767101482496
71.5,0.15693481750428903
76.4,0.14124689475851418
81.7,0.13033925899723198
87.3,0.12049933354204226
93.3,0.1111778946960264
99.8,0.10269022596350408
107.0,0.0960084006357152
114.0,0.08956053116954106
122.0,0.08492047471298696
130.0,0.08181279982474163
139.0,0.078236714682143
149.0,0.07548215038933748
159.0,0.07284019153269815
170.0,0.0681606333762644
182.0,0.06603696777339872
194.0,0.06409285191661822
208.0,0.0622320170555874
222.0,0.06042436707802143
237.0,0.056711717213093794
254.0,0.05567562564166622
271.0,0.05429307403081891
290.0,0.05297259262315489
310.0,0.051439780576366195
332.0,0.048593241424228925
354.0,0.04738705985069169
379.0,0.0461419694025598
405.0,0.044986904518538144
433.0,0.04319071364621215
0.18376362,72044.50186127539
0.18468244,71223.45909335809
0.18560585,70487.3530281672
0.18653388,69968.66872162124
0.18746655,69301.18973371432
0.18840388,68752.64114763644
0.1893459,68226.48524268904
0.19029263,67610.73078148752
0.19124409,66779.08917771776
0.19220031,66138.2189965944
0.19316131,65556.72792421145
0.19412712,64943.4850773987
0.19509776,64370.57150744282
0.19607325,63837.555841387446
0.19705361,63237.32385050276
0.19803888,63336.972843980424
0.19902907,62720.11977310073
0.20002422,62075.33361526371
0.20102434,61554.06704812548
0.20202946,60953.9716392581
0.20303961,60424.90852221836
0.20405481,59900.48932718104
0.20507508,59234.76837554494
0.20610046,58543.92585448567
0.20713096,57781.12814949353
0.20816661,57308.918587084176
0.20920745,56731.649340175274
0.21025348,56251.74192049484
0.21130475,55744.54347850947
0.21236128,55211.332589747464
0.21342308,54456.900544249045
0.2144902,53874.60541928238
0.21556265,53282.60290508409
0.21664046,52798.64254551832
0.21772366,52332.33087499816
0.21881228,51797.789890750355
0.21990634,51737.94601658628
0.22100588,51289.09088295735
0.2221109,50788.64754938831
0.22322146,50224.38110400096
0.22433757,49570.75659169034
0.22545925,48911.89885239959
0.22658655,48445.841174425885
0.22771948,47905.33482033057
0.22885808,47434.84453439071
0.23000237,47033.08519526185
0.23115238,46536.566573383905
0.23230814,45870.33269822815
0.23346969,45391.966432444526
0.23463703,44893.11457783928
0.23581022,44423.37548741309
0.23698927,43969.83224868616
0.23817422,43520.01657964446
0.23936509,43532.147368816164
0.24056191,43072.65728424681
0.24176472,42548.71782075416
0.24297355,42134.26893874651
0.24418841,41769.48095378864
0.24521055,41407.57797397695
0.24540936,41250.431651100866
0.24558945,41172.027808121115
0.2466364,40815.405148599486
0.24786959,40318.90393526586
0.24910893,39904.37768118486
0.25035448,39504.73251311794
0.25160625,39108.76716632804
0.25286428,38722.50170114545
0.2541286,38213.14018681634
0.25539925,37685.05551961223
0.25667624,37183.82441860082
0.25795962,36809.21219114398
0.25859581,36628.261267154296
0.25900419,36488.10185538526
0.25924942,36438.17443816516
0.26054567,36030.59857269981
0.2618484,35676.213911559615
0.26315764,35159.63355708786
0.26447343,34754.99918883352
0.26579579,34335.05332905912
0.26712477,33957.01987645228
0.2684604,33610.4755929085
0.2698027,33257.34209299839
0.27115171,33213.77589322612
0.27250747,32872.504765835314
0.27387001,32490.3028054857
0.27523936,32129.977440672596
0.27661556,31756.03925788372
0.27799863,31480.515209848534
0.27938863,31079.8787532122
0.28078557,30658.84148043463
0.2821895,30218.345412509276
0.28360044,29914.133017676537
0.28501845,29555.924925566553
0.28644354,29217.416477280516
0.28787576,28977.796534992263
0.28931514,28605.798055484287
