Energy,Coeff
0.0061305,247369.13731585804
0.006222,236008.7087454046
0.01069,35646.30058698729
0.01142761,25561.696795378208
0.01221612,17963.032934734176
0.01305903,12685.248668158654
0.0139601,10355.605313283428
0.01492335,8615.225288727162
0.01595306,8088.990173678423
0.01705382,8036.3960637716555
0.01823053,8088.990173678423
0.01948844,8404.667063342667
0.02083314,8720.536517205304
0.02227063,9300.131428397865
0.0238073,9669.302616871148
0.02545001,9880.37581194377
0.02720606,10055.096217431608
0.02908327,10145.90781736409
0.03109002,10031.672234799418
0.032928,10297.239579152623
0.03323523,10297.239579152623
0.033432,10297.239579152623
0.0335664,10297.239579152623
0.033768,10297.239579152623
0.034272,10265.125342193425
0.034888,10191.828230146866
0.035422,10164.899356616846
0.03552846,10164.899356616846
0.0355644,10164.899356616846
0.03577,10111.050010682096
0.035778,10111.050010682096
0.0363175,10057.211862365626
0.0364635,10057.211862365626
0.0366825,10030.296985859142
0.03723,10003.384907011467
0.03797993,10194.873242800604
0.04060054,9823.41865822388
0.04340198,9331.490477093903
0.045864,9009.599443935189
0.04639671,8982.79324684949
0.046566,8955.989824876075
0.0467532,8875.596203885138
0.047034,8848.803876617376
0.047736,8688.10811000983
0.04959809,8447.251315660022
0.05302035,7779.37792689032
0.05667876,7280.652389232345
0.06058959,6797.415124306841
0.06477028,6244.416065300396
0.06923942,5798.001673746612
0.07401695,5423.209305007593
0.075558,5155.540211396568
0.0767145,5027.752451255469
0.0770229,18360.004270025
0.0774855,20261.550383982158
0.078642,26169.89641638559
0.07912411,29087.641230696507
0.08458368,88045.00165763617
0.09041995,119186.45608715675
0.09665893,125342.13230621762
0.1,126121.97883118344
0.1005,126121.97883118344
0.1010025,126121.97883118344
0.10150751,126121.97883118344
0.10201505,126121.97883118344
0.10252513,126121.97883118344
0.10303775,126121.97883118344
0.10355294,126157.57566764831
0.1040707,126121.97883118344
0.10459106,126121.97883118344
0.10511401,126121.97883118344
0.10563958,126086.3950410214
0.10616778,126050.82428760268
0.10669862,125908.67145053892
0.10723211,125731.27258815707
0.10776827,125731.27258815707
0.10830712,125518.82092708342
0.10884865,125377.44431619789
0.10939289,125024.9008265586
0.10993986,124743.78482742983
0.11048956,124638.57581908135
0.11104201,124498.47425022478
0.11159722,124428.49920548742
0.1121552,124985.22932856764
0.11271598,124643.49692639601
0.11327956,124473.02458793292
0.11384596,124166.83282242055
0.11441519,123793.74225050684
0.11498726,123455.65416664182
0.1155622,123388.15998981598
0.11614001,123017.67409210294
0.11672071,122280.39281953462
0.11730431,121980.18406598116
0.11789083,121249.74177764294
0.11848029,120919.30549032094
0.11907269,120655.6631369341
0.11966805,120163.01578358073
0.12026639,119770.46670689998
0.12086772,119151.75694764586
0.12147206,130565.12658266132
0.12207942,130134.07227579634
0.12268982,129633.28292608782
0.12330327,129028.2045395177
0.12391979,128426.40781928587
0.12453939,127560.29218703197
0.12516208,126868.57893475235
0.12578789,126111.93910867322
0.12641683,125359.6960523056
0.12704892,124679.61134048343
0.12768416,123935.62178026434
0.12832258,123128.84382446164
0.12896419,122360.37130716961
0.12960902,121861.64013748715
0.13025706,121133.62589835431
0.13090835,120344.07024827805
0.13156289,119428.96743222441
0.1322207,118423.30678214214
0.13288181,117393.33554351488
0.13354621,116149.03779134521
0.13421395,115452.36678569649
0.13488502,114696.6137630651
0.13555944,113851.63231908008
0.13623724,113229.25695124362
0.13691842,112301.26855327748
0.13760302,111624.94685405826
0.13829103,110769.2527185042
0.13898249,109496.22425764444
0.1396774,108564.57342469765
0.14037579,107758.56290359571
0.14107766,106839.29008130264
0.14178305,106161.44265327488
0.14249197,105311.79357230474
0.14320443,104467.68468212165
0.14392045,103629.04420020367
0.14464005,102881.75093801673
0.14536325,101583.94066480148
0.14609007,100690.29720750113
0.14682052,100008.6352094632
0.14755462,99477.23927762551
0.14829239,98537.00055270438
0.14903386,97835.53741871088
0.14977903,96818.21490541678
0.15052792,95836.29749818423
0.15128056,94975.02421864007
0.15203696,94061.56569484533
0.15279715,93210.04926022583
0.15356113,92278.74089259605
0.15432894,91436.91481192461
0.15510058,90599.62608393557
0.15587609,89988.46988845657
0.15665547,89048.6598782033
0.15743875,88196.70155166704
0.15822594,87458.46131691942
0.15901707,86615.1561428017
0.15981215,86019.4466735478
0.16061121,85426.01288414464
0.16141427,84566.86327579069
0.16222134,84112.36539129265
0.16303245,83393.23783187891
0.16384761,82545.22703223555
0.16466685,81885.92465649135
0.16549018,81334.26491644086
0.16631763,80706.18619322129
0.16714922,79924.6420698415
0.16798497,79172.86869023035
0.16882489,78553.45098597273
