Energy,Coeff
0.0061305,43474.75927429561
0.006222,43474.75927429561
0.01069,49386.41414264414
0.01142761,52537.412420078
0.01221612,55942.78380471694
0.01305903,58924.63880821586
0.0139601,62802.367982062686
0.01492335,66499.07044116894
0.01595306,69878.35671713189
0.01705382,72866.61883910418
0.01823053,74352.501305035
0.01948844,75160.56838081058
0.02083314,74367.62675047437
0.02227063,72196.2871282469
0.0238073,68336.31265131079
0.02545001,62905.93296513759
0.02720606,57217.01671413577
0.02908327,50408.621040570455
0.03109002,44046.46403835517
0.032928,38925.95420431932
0.03323523,38170.468753469235
0.033432,37709.78570030197
0.0335664,37341.324838074244
0.033768,36658.88778849679
0.034272,35433.21973299426
0.034888,34261.32234054826
0.035422,32906.29799317829
0.03552846,32557.451806421617
0.0355644,32459.71455113176
0.03577,32044.87632567627
0.035778,32021.19948478814
0.0363175,31730.303012656408
0.0364635,31461.587435164212
0.0366825,30998.199932797594
0.03723,29840.178242959584
0.03797993,28718.018975007668
0.04060054,24891.186198520245
0.04340198,37672.303203811825
0.045864,34867.62863123473
0.04639671,34261.33016584021
0.046566,34075.22877023713
0.0467532,33853.16828545355
0.047034,33380.91166438117
0.047736,32233.845543552703
0.04959809,29380.585341988513
0.05302035,31011.200984653737
0.05667876,27616.1645135422
0.06058959,23505.656160556322
0.06477028,19689.91773870672
0.06923942,16615.642139963347
0.07401695,14343.3537358646
0.075558,13718.480930143212
0.0767145,13391.280312984989
0.0770229,13284.531490433686
0.0774855,13121.361807658963
0.078642,12831.181002686195
0.07912411,12718.01849302887
0.08458368,12199.046703358643
0.09041995,11974.104626935561
0.09665893,12269.278020519705
0.1,12670.745871408937
0.1005,12722.63911564551
0.1010025,12778.143389480843
0.10150751,12837.43956161749
0.10201505,12883.029688760564
0.10252513,12946.317113749878
0.10303775,13016.921053642971
0.10355294,13077.291936537253
0.1040707,13137.874976132965
0.10459106,13213.173143220503
0.10511401,13299.680285490896
0.10563958,13375.777904783314
0.10616778,13448.728694053996
0.10669862,13529.37951390297
0.10723211,13632.810456352925
0.10776827,13722.061118000569
0.10830712,13770.620580138526
0.10884865,13856.935180521325
0.10939289,13921.160560946362
0.10993986,14019.927175912073
0.11048956,14115.542234093553
0.11104201,14211.92637448765
0.11159722,14293.398140089868
0.1121552,14355.109974457662
0.11271598,14465.072681813832
0.11327956,14563.88461473156
0.11384596,14651.467566983512
0.11441519,14723.480714415811
0.11498726,14807.891914369357
0.1155622,14921.13638637043
0.11614001,15010.676986453318
0.11672071,15100.7217204407
0.11730431,15220.352058486305
0.11789083,15324.091732965464
0.11848029,15407.696333173417
0.11907269,15546.453739755385
0.11966805,15635.500308430699
0.12026639,15707.966243325583
0.12086772,15814.998755573093
0.12147206,15901.271840204783
0.12207942,15992.375766294455
0.12268982,16105.781316239792
0.12330327,16193.698681158561
0.12391979,16304.166101532663
0.12453939,16261.01010984256
0.12516208,16394.840014641344
0.12578789,16516.150153112383
0.12641683,16651.919272598003
0.12704892,16756.72057952416
0.12768416,16875.944097747266
0.12832258,16968.08152790548
0.12896419,17046.924376562503
0.12960902,17139.994934488972
0.13025706,17242.958888445617
0.13090835,17322.959703373414
0.13156289,17426.900059985495
0.1322207,17512.413732347934
0.13288181,17607.948196057143
0.13354621,17713.657636182306
0.13421395,17810.208817667306
0.13488502,17912.190226531515
0.13555944,17975.660211096936
0.13623724,18117.898083107488
0.13691842,18196.89260692414
0.13760302,18271.18801032138
0.13829103,18325.905687372335
0.13898249,18410.85315591219
0.1396774,18501.156690144653
0.14037579,18561.53851155586
0.14107766,18652.592618311035
0.14178305,18744.172651614284
0.14249197,18820.791448480737
0.14320443,18892.6632196852
0.14392045,18985.41644922145
0.14464005,19057.83467497904
0.14536325,18991.287694605628
0.14609007,19085.225151173083
0.14682052,19142.766402458758
0.14755462,19205.817201386522
0.14829239,19263.873976778515
0.14903386,19353.64934403706
0.14977903,19406.702594445935
0.15052792,19465.16740205869
0.15128056,19534.43225066966
0.15203696,19636.19721320228
0.15279715,19754.58704234823
0.15356113,19797.785036373727
0.15432894,19873.5665338254
0.15510058,19976.822646076296
0.15587609,20036.928003485544
0.15665547,20113.627486348214
0.15743875,20200.978900425132
0.15822594,20273.185133638563
0.15901707,20322.98251299731
0.15981215,20400.655005501572
0.16061121,20445.165744941063
0.16141427,20500.93023394755
0.16222134,20540.054112318925
0.16303245,20568.050688053183
0.16384761,20629.626153748115
0.16466685,20680.259962948126
0.16549018,20719.74188203237
0.16631763,20764.82976416109
0.16714922,20832.822980170404
0.16798497,20878.18572605954
0.16882489,20923.665526763823
0.16966902,20963.564203308648
0.17051736,21009.27654398223
0.17136995,21049.263189454305
0.1722268,21089.356967729964
0.17308793,21129.56017313719
0.17395337,21169.876308801377
0.17482314,21221.721127870027
0.17569726,21256.387144659748
0.17657574,21291.02926376138
0.17745862,21337.37611618903
0.17834591,21366.437844719792
0.17923764,21401.287502791696
0.18013383,21412.950594073744
0.1810345,21453.82000460665
0.18193967,21477.062484064634
0.18284937,21506.35898890375
0.18376362,21512.117148114598
0.18468244,21529.765377195174
0.18560585,21553.119600960814
0.18653388,21570.707532286677
0.18746655,21570.669255269804
0.18840388,21588.306217363428
0.1893459,21600.04885478072
0.19029263,21617.640276651473
0.19124409,21641.211446309746
0.19220031,21641.236330226955
0.19316131,21653.00496481204
0.19412712,21658.87025974875
0.19509776,21664.71837725525
0.19607325,21664.77295039727
0.19705361,21658.813679848547
0.19803888,21658.843594020353
0.19902907,21658.86445550721
0.20002422,21647.108764183555
0.20102434,21641.238038903328
0.20202946,21623.60949350646
0.20303961,21617.64079002044
0.20405481,21600.04007606098
0.20507508,21588.328590262438
0.20610046,21570.77016666701
0.20713096,21558.992868981706
0.20816661,21541.381380930365
0.20920745,21518.05790823274
