Energy,Optimal_t
0.00842,38.14697265625
0.00854,38.14697265625
0.0107,95.367431640625
0.0114,133.514404296875
0.0122,190.73486328125
0.0131,228.8818359375
0.014,305.17578125
0.0149,381.4697265625
0.016,381.4697265625
0.0171,381.4697265625
0.0182,381.4697265625
0.0195,381.4697265625
0.0208,381.4697265625
0.0223,381.4697265625
0.0238,381.4697265625
0.0255,305.17578125
0.0272,305.17578125
0.0291,305.17578125
0.0311,305.17578125
0.0332,305.17578125
0.0355,305.17578125
0.038,305.17578125
0.0406,305.17578125
0.0434,381.4697265625
0.0464,381.4697265625
0.0496,381.4697265625
0.053,381.4697265625
0.0567,457.763671875
0.0606,457.763671875
0.0648,534.0576171875
0.0692,534.0576171875
0.0716,534.0576171875
0.0727,610.3515625
0.073,610.3515625
0.0735,610.3515625
0.074,610.3515625
0.0746,610.3515625
0.0791,114.44091796875
0.0846,38.14697265625
0.0904,28.6102294921875
0.0967,28.6102294921875
0.103,28.6102294921875
0.11,28.6102294921875
0.115,28.6102294921875
0.117,28.6102294921875
0.118,28.6102294921875
0.118,28.6102294921875
0.118,28.6102294921875
0.12,28.6102294921875
0.126,28.6102294921875
0.135,28.6102294921875
0.144,28.6102294921875
0.154,38.14697265625
0.165,38.14697265625
0.176,47.6837158203125
0.188,47.6837158203125
0.201,57.220458984375
0.215,76.2939453125
0.23,76.2939453125
0.246,95.367431640625
0.263,95.367431640625
0.281,114.44091796875
0.301,152.587890625
0.321,152.587890625
0.343,190.73486328125
0.367,228.8818359375
0.392,305.17578125
0.42,305.17578125
0.448,381.4697265625
0.479,457.763671875
0.512,534.0576171875
0.548,610.3515625
0.586,762.939453125
0.626,915.52734375
0.669,915.52734375
0.715,1220.703125
0.765,1525.87890625
0.818,1525.87890625
0.874,1831.0546875
0.934,2441.40625
0.999,3051.7578125
1.07,3662.109375
1.14,3662.109375
1.22,4882.8125
1.3,6103.515625
1.39,7324.21875
1.49,8544.921875
1.53,8544.921875
1.55,8544.921875
1.56,8544.921875
1.57,915.52734375
1.59,915.52734375
1.59,915.52734375
1.7,915.52734375
1.82,1220.703125
1.95,1525.87890625
2.08,1525.87890625
2.22,1831.0546875
2.38,2441.40625
2.54,3051.7578125
2.72,3051.7578125
2.9,3662.109375
3.11,4882.8125
3.32,6103.515625
3.55,7324.21875
3.79,7324.21875
4.06,9765.625
4.33,12207.03125
4.63,14648.4375
4.95,19531.25
5.3,19531.25
5.66,24414.0625
6.05,29296.875
6.47,39062.5
6.92,48828.125
7.39,48828.125
7.9,58593.75
8.45,78125.0
9.03,97656.25
9.65,117187.5
10.3,156250.0
11.0,195312.5
11.8,195312.5
12.6,273437.5
13.5,312500.0
14.4,390625.0
15.4,468750.0
16.5,625000.0
17.6,781250.0
18.8,781250.0
20.1,937500.0
21.5,1250000.0
23.0,1562500.0
24.6,1875000.0
26.3,2500000.0
28.1,2500000.0
30.0,3750000.0
32.1,3750000.0
34.3,5000000.0
36.7,6250000.0
39.2,6250000.0
41.9,7500000.0
44.8,10000000.0
47.9,10000000.0
51.2,12500000.0
54.7,15000000.0
58.5,15000000.0
62.5,17500000.0
66.8,18750000.0
71.5,19687500.0
76.4,19999999.701976776
81.7,19999999.701976776
87.3,19999999.701976776
93.3,19999999.701976776
99.8,19999999.701976776
107.0,19999999.701976776
114.0,19999999.701976776
122.0,19999999.701976776
130.0,19999999.701976776
139.0,19999999.701976776
149.0,19999999.701976776
159.0,19999999.701976776
170.0,19999999.701976776
182.0,19999999.701976776
194.0,19999999.701976776
208.0,19999999.701976776
222.0,19999999.701976776
237.0,19999999.701976776
254.0,19999999.701976776
271.0,19999999.701976776
290.0,19999999.701976776
310.0,19999999.701976776
332.0,19999999.701976776
354.0,19999999.701976776
379.0,19999999.701976776
405.0,19999999.701976776
433.0,19999999.701976776
