Energy,Optimal_t
0.00511,7.682208865880966
0.00518,7.682208865880966
0.0107,15.728835463523865
0.0111,21.093253195285797
0.0113,21.093253195285797
0.0113,21.093253195285797
0.0114,21.093253195285797
0.0114,21.093253195285797
0.0116,26.45767092704773
0.0122,31.822088658809662
0.0131,47.91534185409546
0.014,58.644177317619324
0.0149,90.83068370819092
0.016,133.74602556228638
0.0171,176.66136741638184
0.0182,219.5767092704773
0.0195,262.49205112457275
0.0208,305.4073929786682
0.0223,305.4073929786682
0.0238,305.4073929786682
0.0255,305.4073929786682
0.0272,305.4073929786682
0.0291,305.4073929786682
0.0311,305.4073929786682
0.0332,262.49205112457275
0.0355,262.49205112457275
0.038,262.49205112457275
0.0406,262.49205112457275
0.0434,262.49205112457275
0.0464,262.49205112457275
0.0496,262.49205112457275
0.053,262.49205112457275
0.0567,262.49205112457275
0.0606,348.3227348327637
0.0648,348.3227348327637
0.0692,348.3227348327637
0.074,348.3227348327637
0.0791,434.1534185409546
0.0846,434.1534185409546
0.0904,519.9841022491455
0.0967,519.9841022491455
0.0972,519.9841022491455
0.0987,605.8147859573364
0.0991,605.8147859573364
0.0997,605.8147859573364
0.101,605.8147859573364
0.103,605.8147859573364
0.11,47.91534185409546
0.118,37.186506390571594
0.126,37.186506390571594
0.135,37.186506390571594
0.144,37.186506390571594
0.146,37.186506390571594
0.148,37.186506390571594
0.149,37.186506390571594
0.149,37.186506390571594
0.152,37.186506390571594
0.154,37.186506390571594
0.165,37.186506390571594
0.176,47.91534185409546
0.188,47.91534185409546
0.201,58.644177317619324
0.215,58.644177317619324
0.23,69.37301278114319
0.246,90.83068370819092
0.263,90.83068370819092
0.281,112.28835463523865
0.301,133.74602556228638
0.321,133.74602556228638
0.343,176.66136741638184
0.367,219.5767092704773
0.392,219.5767092704773
0.42,262.49205112457275
0.448,348.3227348327637
0.479,348.3227348327637
0.512,519.9841022491455
0.548,519.9841022491455
0.586,691.6454696655273
0.626,691.6454696655273
0.669,1034.968204498291
0.715,1034.968204498291
0.765,1378.2909393310547
0.818,1378.2909393310547
0.874,1721.6136741638184
0.934,2064.936408996582
0.999,2751.5818786621094
1.07,2751.5818786621094
1.14,4124.872817993164
1.22,4124.872817993164
1.3,5498.163757324219
1.39,5498.163757324219
1.49,8244.745635986328
1.59,8244.745635986328
1.7,10991.327514648438
1.8,10991.327514648438
1.82,13737.909393310547
1.83,13737.909393310547
1.84,13737.909393310547
1.85,1378.2909393310547
1.88,1378.2909393310547
1.95,1378.2909393310547
2.08,1721.6136741638184
2.22,1721.6136741638184
2.38,2064.936408996582
2.54,2751.5818786621094
2.72,3438.2273483276367
2.9,3438.2273483276367
3.11,4124.872817993164
3.32,5498.163757324219
3.55,6871.454696655273
3.79,6871.454696655273
4.06,8244.745635986328
4.33,10991.327514648438
4.63,13737.909393310547
4.95,16484.491271972656
5.3,21977.655029296875
5.66,21977.655029296875
6.05,27470.818786621094
6.47,32963.98254394531
6.92,43950.31005859375
7.39,43950.31005859375
7.9,65922.96508789062
8.45,65922.96508789062
9.03,87895.6201171875
9.65,109868.27514648438
10.3,131840.93017578125
11.0,175786.240234375
11.8,175786.240234375
12.6,263676.8603515625
13.5,263676.8603515625
14.4,351567.48046875
15.4,439458.1005859375
16.5,527348.720703125
17.6,703129.9609375
18.8,703129.9609375
20.1,1054692.44140625
21.5,1054692.44140625
23.0,1406254.921875
24.6,1757817.40234375
26.3,2109379.8828125
28.1,2812504.84375
30.0,2812504.84375
32.1,3515629.8046875
34.3,4218754.765625
36.7,5625004.6875
39.2,5625004.6875
41.9,7031254.609375
44.8,8437504.53125
47.9,11250004.375
51.2,11250004.375
54.7,14062504.21875
58.5,14062504.21875
62.5,16875004.0625
66.8,22500003.75
71.5,22500003.75
76.4,22500003.75
81.7,28125003.4375
87.3,28125003.4375
93.3,28125003.4375
99.8,33750003.125
107.0,33750003.125
114.0,45000002.5
122.0,45000002.5
130.0,45000002.5
139.0,45000002.5
149.0,45000002.5
159.0,45000002.5
170.0,56250001.875
182.0,56250001.875
194.0,56250001.875
208.0,56250001.875
222.0,56250001.875
237.0,67500001.25
254.0,67500001.25
271.0,67500001.25
290.0,67500001.25
310.0,67500001.25
332.0,78750000.625
354.0,78750000.625
379.0,78750000.625
405.0,78750000.625
433.0,84375000.3125
0.18376362,47.91534185409546
0.18468244,47.91534185409546
0.18560585,47.91534185409546
0.18653388,47.91534185409546
0.18746655,47.91534185409546
0.18840388,47.91534185409546
0.1893459,47.91534185409546
0.19029263,47.91534185409546
0.19124409,47.91534185409546
0.19220031,47.91534185409546
0.19316131,47.91534185409546
0.19412712,47.91534185409546
0.19509776,47.91534185409546
0.19607325,47.91534185409546
0.19705361,47.91534185409546
0.19803888,58.644177317619324
0.19902907,58.644177317619324
0.20002422,58.644177317619324
0.20102434,58.644177317619324
0.20202946,58.644177317619324
0.20303961,58.644177317619324
0.20405481,58.644177317619324
0.20507508,58.644177317619324
0.20610046,58.644177317619324
0.20713096,58.644177317619324
0.20816661,58.644177317619324
0.20920745,58.644177317619324
0.21025348,58.644177317619324
0.21130475,58.644177317619324
0.21236128,58.644177317619324
0.21342308,58.644177317619324
0.2144902,58.644177317619324
0.21556265,58.644177317619324
0.21664046,58.644177317619324
0.21772366,58.644177317619324
0.21881228,58.644177317619324
0.21990634,69.37301278114319
0.22100588,69.37301278114319
0.2221109,69.37301278114319
0.22322146,69.37301278114319
0.22433757,69.37301278114319
0.22545925,69.37301278114319
0.22658655,69.37301278114319
0.22771948,69.37301278114319
0.22885808,69.37301278114319
0.23000237,69.37301278114319
0.23115238,69.37301278114319
0.23230814,69.37301278114319
0.23346969,69.37301278114319
0.23463703,69.37301278114319
0.23581022,69.37301278114319
0.23698927,69.37301278114319
0.23817422,69.37301278114319
0.23936509,90.83068370819092
0.24056191,90.83068370819092
0.24176472,90.83068370819092
0.24297355,90.83068370819092
0.24418841,90.83068370819092
0.24521055,90.83068370819092
0.24540936,90.83068370819092
0.24558945,90.83068370819092
0.2466364,90.83068370819092
0.24786959,90.83068370819092
0.24910893,90.83068370819092
0.25035448,90.83068370819092
0.25160625,90.83068370819092
0.25286428,90.83068370819092
0.2541286,90.83068370819092
0.25539925,90.83068370819092
0.25667624,90.83068370819092
0.25795962,90.83068370819092
0.25859581,90.83068370819092
0.25900419,90.83068370819092
0.25924942,90.83068370819092
0.26054567,90.83068370819092
0.2618484,90.83068370819092
0.26315764,90.83068370819092
0.26447343,90.83068370819092
0.26579579,90.83068370819092
0.26712477,90.83068370819092
0.2684604,90.83068370819092
0.2698027,90.83068370819092
0.27115171,112.28835463523865
0.27250747,112.28835463523865
0.27387001,112.28835463523865
0.27523936,112.28835463523865
0.27661556,112.28835463523865
0.27799863,112.28835463523865
0.27938863,112.28835463523865
0.28078557,112.28835463523865
0.2821895,112.28835463523865
0.28360044,112.28835463523865
0.28501845,112.28835463523865
0.28644354,112.28835463523865
0.28787576,112.28835463523865
0.28931514,112.28835463523865
0.29076171,112.28835463523865
0.29221552,112.28835463523865
0.2936766,112.28835463523865
0.29514498,112.28835463523865
0.29662071,112.28835463523865
0.29810381,133.74602556228638
0.29959433,133.74602556228638
0.3010923,133.74602556228638
0.30259776,133.74602556228638
0.30411075,133.74602556228638
0.3056313,133.74602556228638
0.30715946,133.74602556228638
0.30869526,133.74602556228638
0.31023873,133.74602556228638
0.31178993,133.74602556228638
0.31334888,133.74602556228638
0.31491562,133.74602556228638
0.3164902,133.74602556228638
0.31807265,133.74602556228638
0.31966301,133.74602556228638
0.32126133,155.2036964893341
0.32286764,155.2036964893341
0.32448197,155.2036964893341
0.32610438,155.2036964893341
0.32773491,155.2036964893341
0.32937358,155.2036964893341
0.33102045,155.2036964893341
0.33267555,155.2036964893341
0.33433893,155.2036964893341
0.33601062,155.2036964893341
0.33769068,155.2036964893341
0.33937913,155.2036964893341
0.34107602,155.2036964893341
0.3427814,176.66136741638184
0.34449531,176.66136741638184
0.34621779,176.66136741638184
0.34794888,176.66136741638184
0.34968862,176.66136741638184
0.35143706,176.66136741638184
0.35319425,176.66136741638184
0.35496022,176.66136741638184
0.35673502,176.66136741638184
0.3585187,176.66136741638184
0.36031129,176.66136741638184
0.36211285,219.5767092704773
0.36392341,219.5767092704773
0.36574303,219.5767092704773
0.36757174,219.5767092704773
0.3694096,219.5767092704773
0.37125665,219.5767092704773
0.37311293,219.5767092704773
0.3749785,219.5767092704773
0.37685339,219.5767092704773
0.37873766,219.5767092704773
0.38063135,219.5767092704773
0.3825345,219.5767092704773
0.38444718,219.5767092704773
0.38636941,219.5767092704773
0.38830126,219.5767092704773
0.39024276,219.5767092704773
0.39219398,219.5767092704773
0.39415495,219.5767092704773
0.39612572,219.5767092704773
0.39810635,262.49205112457275
0.40009688,262.49205112457275
0.40209737,262.49205112457275
0.40410785,262.49205112457275
0.40612839,262.49205112457275
0.40815904,262.49205112457275
0.41019983,262.49205112457275
0.41225083,262.49205112457275
0.41431208,262.49205112457275
0.41638364,262.49205112457275
0.41846556,262.49205112457275
0.42055789,262.49205112457275
0.42266068,262.49205112457275
0.42477398,262.49205112457275
0.42477688,262.49205112457275
0.42582312,262.49205112457275
0.42689785,262.49205112457275
0.42903234,305.4073929786682
0.4311775,305.4073929786682
0.43333339,305.4073929786682
0.43550006,305.4073929786682
0.43767756,305.4073929786682
0.43986595,305.4073929786682
0.44206528,305.4073929786682
0.4442756,305.4073929786682
0.44649698,305.4073929786682
0.44872947,305.4073929786682
0.45097311,305.4073929786682
0.45322798,305.4073929786682
0.45549412,348.3227348327637
0.45777159,348.3227348327637
0.46006045,348.3227348327637
0.46236075,348.3227348327637
0.46467255,348.3227348327637
0.46699592,348.3227348327637
0.4693309,348.3227348327637
0.47167755,348.3227348327637
0.47403594,348.3227348327637
0.47640612,348.3227348327637
0.47878815,348.3227348327637
0.48118209,434.1534185409546
0.483588,434.1534185409546
0.48600594,434.1534185409546
0.48843597,434.1534185409546
0.49087815,434.1534185409546
0.4909216,434.1534185409546
0.49227841,434.1534185409546
0.49333254,434.1534185409546
0.4957992,434.1534185409546
0.4982782,434.1534185409546
0.50076959,434.1534185409546
0.50327344,434.1534185409546
0.5057898,434.1534185409546
0.50831875,434.1534185409546
0.51086035,434.1534185409546
0.51341465,434.1534185409546
0.51598172,434.1534185409546
0.51856163,434.1534185409546
0.52115444,434.1534185409546
0.52376021,434.1534185409546
0.52637901,519.9841022491455
0.52901091,519.9841022491455
0.53165596,519.9841022491455
