Energy,Coeff
8.42E-03,1.91E+04
8.54E-03,1.65E+04
1.07E-02,2.68E+03
1.14E-02,2.05E+03
1.22E-02,1.74E+03
1.31E-02,1.61E+03
1.40E-02,1.59E+03
1.49E-02,1.65E+03
1.60E-02,1.77E+03
1.71E-02,1.96E+03
1.82E-02,2.22E+03
1.95E-02,2.52E+03
2.08E-02,2.89E+03
2.23E-02,3.30E+03
2.38E-02,3.75E+03
2.55E-02,4.22E+03
2.72E-02,4.69E+03
2.91E-02,5.14E+03
3.11E-02,5.56E+03
3.32E-02,5.90E+03
3.55E-02,6.16E+03
3.80E-02,6.31E+03
4.06E-02,6.33E+03
4.34E-02,6.26E+03
4.64E-02,6.10E+03
4.96E-02,5.85E+03
5.30E-02,5.54E+03
5.67E-02,5.18E+03
6.06E-02,4.80E+03
6.48E-02,4.40E+03
6.92E-02,4.01E+03
7.16E-02,3.81E+03
7.27E-02,3.73E+03
7.30E-02,3.70E+03
7.35E-02,8.34E+04
7.40E-02,8.46E+04
7.46E-02,8.58E+04
7.91E-02,9.63E+04
8.46E-02,1.08E+05
9.04E-02,1.17E+05
9.67E-02,1.21E+05
1.03E-01,1.22E+05
1.10E-01,1.19E+05
1.15E-01,1.15E+05
1.17E-01,1.14E+05
1.18E-01,1.14E+05
1.18E-01,1.24E+05
1.18E-01,1.24E+05
1.20E-01,1.23E+05
1.26E-01,1.17E+05
1.35E-01,1.08E+05
1.44E-01,9.80E+04
1.54E-01,8.81E+04
1.65E-01,7.85E+04
1.76E-01,6.94E+04
1.88E-01,6.09E+04
2.01E-01,5.32E+04
2.15E-01,4.62E+04
2.30E-01,4.00E+04
2.46E-01,3.45E+04
2.63E-01,2.97E+04
2.81E-01,2.55E+04
3.01E-01,2.19E+04
3.21E-01,1.87E+04
3.43E-01,1.60E+04
3.67E-01,1.36E+04
3.92E-01,1.16E+04
4.20E-01,9.88E+03
4.48E-01,8.39E+03
4.79E-01,7.12E+03
5.12E-01,6.03E+03
5.48E-01,5.10E+03
5.86E-01,4.31E+03
6.26E-01,3.65E+03
6.69E-01,3.08E+03
7.15E-01,2.60E+03
7.65E-01,2.19E+03
8.18E-01,1.85E+03
8.74E-01,1.56E+03
9.34E-01,1.31E+03
9.99E-01,1.11E+03
1.07E+00,9.21E+02
1.14E+00,7.67E+02
1.22E+00,6.40E+02
1.30E+00,5.35E+02
1.39E+00,4.46E+02
1.49E+00,3.71E+02
1.53E+00,3.47E+02
1.55E+00,3.33E+02
1.56E+00,3.29E+02
1.57E+00,4.04E+03
1.59E+00,3.96E+03
1.59E+00,3.95E+03
1.70E+00,3.49E+03
1.82E+00,2.94E+03
1.95E+00,2.45E+03
2.08E+00,2.04E+03
2.22E+00,1.71E+03
2.38E+00,1.43E+03
2.54E+00,1.20E+03
2.72E+00,1.01E+03
2.90E+00,8.49E+02
3.11E+00,7.11E+02
3.32E+00,5.89E+02
3.55E+00,4.88E+02
3.79E+00,4.05E+02
4.06E+00,3.35E+02
4.33E+00,2.78E+02
4.63E+00,2.31E+02
4.95E+00,1.91E+02
5.30E+00,1.59E+02
5.66E+00,1.32E+02
6.05E+00,1.09E+02
6.47E+00,9.05E+01
6.92E+00,7.49E+01
7.39E+00,6.17E+01
7.90E+00,5.09E+01
8.45E+00,4.20E+01
9.03E+00,3.45E+01
9.65E+00,2.83E+01
1.03E+01,2.31E+01
1.10E+01,1.89E+01
1.18E+01,1.55E+01
1.26E+01,1.27E+01
1.35E+01,1.05E+01
1.44E+01,8.59E+00
1.54E+01,7.07E+00
1.65E+01,5.82E+00
1.76E+01,4.80E+00
1.88E+01,3.97E+00
2.01E+01,3.29E+00
2.15E+01,2.73E+00
2.30E+01,2.27E+00
2.46E+01,1.89E+00
2.63E+01,1.59E+00
2.81E+01,1.33E+00
3.00E+01,1.12E+00
3.21E+01,9.46E-01
3.43E+01,8.04E-01
3.67E+01,6.87E-01
3.92E+01,5.91E-01
4.19E+01,5.13E-01
4.48E+01,4.49E-01
4.79E+01,3.97E-01
5.12E+01,3.54E-01
5.47E+01,3.18E-01
5.85E+01,2.89E-01
6.25E+01,2.64E-01
6.68E+01,2.44E-01
7.15E+01,2.27E-01
7.64E+01,2.13E-01
8.17E+01,2.00E-01
8.73E+01,1.90E-01
9.33E+01,1.81E-01
9.98E+01,1.73E-01
1.07E+02,1.66E-01
1.14E+02,1.60E-01
1.22E+02,1.55E-01
1.30E+02,1.50E-01
1.39E+02,1.45E-01
1.49E+02,1.41E-01
1.59E+02,1.37E-01
1.70E+02,1.33E-01
1.82E+02,1.30E-01
1.94E+02,1.26E-01
2.08E+02,1.23E-01
2.22E+02,1.20E-01
2.37E+02,1.17E-01
2.54E+02,1.14E-01
2.71E+02,1.11E-01
2.90E+02,1.08E-01
3.10E+02,1.05E-01
3.32E+02,1.02E-01
3.54E+02,9.92E-02
3.79E+02,9.64E-02
4.05E+02,9.36E-02
4.33E+02,9.09E-02
