Energy,Coeff
0.01069,155623.06066340467
0.01142761,157309.89582431494
0.01221612,159244.9591934217
0.01305903,161259.95315669393
0.0139601,168147.48219867365
0.01492335,183057.9721459477
0.01595306,195043.80491010664
0.01705382,203174.44059234057
0.01823053,208276.79582383228
0.01948844,211534.3612890715
0.02083314,212733.54202790302
0.02227063,212005.19645300644
0.023226,210859.55998287335
0.0235815,210206.3388698295
0.0236763,210065.05301175296
0.0238073,209822.92778037986
0.0238185,209822.92778037983
0.024174,209314.64639445615
0.02545001,206588.75010056488
0.02720606,201632.78432337637
0.02908327,203099.42056055705
0.03109002,197737.50326441703
0.03323523,190604.14379997586
0.03552846,182083.30469352545
0.037044,176274.3073490403
0.037611,174242.55714145701
0.0377622,173676.94238807418
0.03797993,172773.89477159103
0.037989,172740.92659804784
0.038556,170619.83906556288
0.04060054,163452.12328236172
0.04340198,165605.01282168302
0.04639671,157804.8345243242
0.04959809,144436.87366110072
0.05302035,131365.7945482169
0.05667876,117427.5710641384
0.06058959,105426.87922049264
0.06477028,94596.76481258812
0.06517,93709.90869331322
0.0661675,91450.5418513773
0.0664335,90837.41195811721
0.0668325,90052.41008780024
0.06783,87597.7606501951
0.06923942,84823.64490049741
0.07401695,78791.56799838576
0.07912411,70973.73467281938
0.08458368,63794.21536166587
0.09041995,57250.230681112844
0.09665893,51519.0569998199
0.1033284,46292.864064830435
0.1104581,41508.78687461344
0.1180797,37203.042135372765
0.1262272,33448.9484037224
0.1349368,29754.814168199802
0.1442475,26596.40573213221
0.1542005,23692.310693434498
0.1648404,21056.71119048639
0.1762144,18700.009179227145
0.1883732,16630.36298839659
0.2013709,14669.839987689666
0.2152655,12981.900908711761
0.2301188,11458.186191256365
0.245997,10068.712272673334
0.2629708,8860.009695755534
0.2811158,7770.659895076684
0.3005128,6803.258436209504
0.3212482,5961.672585526941
0.3434143,5196.56903727565
0.3671099,4526.393743463545
0.3924405,3944.4721743025716
0.4195189,3425.624208252356
0.4484657,2974.4898965417024
0.4794098,2572.9453784955776
0.502642,2318.028053389191
0.51009,2245.7038999577353
0.5103355,2243.6608750834744
0.5124891,2223.783353458214
0.5154645,2196.614005318766
0.5178975,2174.7644339986564
0.5199795,4646.110859684214
0.52136,5116.055941610192
0.5231025,5818.595368484985
0.523158,5848.6581973090015
0.52934,10222.640156751824
0.53091,10916.638699181818
0.531468,11180.22127292248
0.53466,12439.870187489481
0.54264,20970.24793692606
0.5478508,20746.390107108728
0.5856525,18246.171685510697
0.615636,16349.414162708212
0.625059,15720.705005395335
0.6260625,15672.009023236858
0.6275718,15581.468595936562
0.631341,15356.145642986228
0.640764,15991.041896438197
0.6692609,14462.752359990354
0.7154399,12437.915328820847
0.7648052,10619.141207445951
0.8175768,9062.811414192985
0.8739896,7728.940996047535
0.9342948,6546.985355876001
0.9987612,5539.82876550356
1.067676,4694.058275402991
1.141345,3970.4098554467496
1.220098,3342.1306443974713
1.304285,2819.016473370215
1.394281,2366.79197042789
1.490486,1991.8917657370166
1.593329,1668.6254648589736
1.703269,1396.144534511098
1.820795,1165.7800192525342
1.94643,977.0329933974161
2.080733,815.8706400585696
2.224304,678.418100850116
2.377781,566.195892950313
2.541848,471.0793017232449
2.717235,393.7262831577856
2.904724,326.175820784168
3.10515,271.74561486954417
3.319406,225.08689319763616
3.548445,187.21713524720568
3.793288,155.39558698410255
4.055024,128.1642470814267
4.334821,106.4285554326158
4.633924,88.13620189682207
4.953664,72.87721332523553
5.295467,60.69230628467613
5.355798,58.517667573218056
5.437774,56.054743408494694
5.459635,55.40251026080794
5.492425,335.3426430612547
5.574402,323.86499833699907
5.660855,311.63481050891414
6.051453,265.8963918944684
6.469004,225.51463467305464
6.915365,190.38633213630405
7.392525,158.71372261423176
7.902609,131.89875165976662
8.44789,109.66485896212495
9.030794,91.37595119557986
9.653919,75.74838695489305
10.32004,62.64498187121331
11.03212,52.24899689788728
11.79334,43.31718283792848
12.60708,36.02542666124493
13.47697,29.953213632008012
14.40688,24.996245827582104
15.40095,20.676408940250095
16.46362,17.234161175460663
17.59961,14.285038092324482
18.81398,11.91634237962644
20.11215,9.897916106697904
21.49988,8.1682870906001
22.98338,6.7472588049515565
24.56923,5.587169866080947
26.2645,4.587626066959069
28.07676,3.810547443088395
30.01405,3.1265266573068202
32.08502,2.5539665311916315
34.29889,2.107893299843685
36.66551,1.740894379924654
39.19543,1.4367675577118573
41.89992,1.1944513892590112
44.79101,0.9848298530571965
47.88159,0.8156888424643097
51.18542,0.6833573666389744
54.71721,0.5702395921565572
58.4927,0.48163361004652255
62.5287,0.4117715368350676
66.84318,0.35963704011475045
71.45536,0.3056208704175069
76.38578,0.2625307905345599
81.6564,0.23072178483353392
87.29069,0.201393091801395
93.31374,0.18205393228804034
99.75239,0.1610005904004451
106.6353,0.14442382939499956
113.9931,0.1312181957896375
121.8587,0.12070730396630414
130.2669,0.11053444907054329
139.2553,0.10199611350247366
148.864,0.09500208284499474
159.1356,0.08843754173886433
170.1159,0.08347319019184778
181.8539,0.07916460765243337
194.4018,0.07552204019181706
207.8156,0.07212645510451615
222.1548,0.06916458593509969
237.4835,0.06512799000982845
253.8699,0.06268604928686347
271.3869,0.060409795878864955
290.1126,0.05839496959467521
310.1304,0.05677905911497785
331.5294,0.05508307874439204
354.4049,0.05043363334802347
378.8588,0.0489204664237389
405.0001,0.047774344765338525
