Energy,Coeff
0.0107,155404.1639
0.0114,157063.8362
0.0122,159012.1507
0.0131,161133.3054
0.014,168708.882
0.0149,182225.8997
0.016,194837.6816
0.0171,202790.4009
0.0182,208889.5071
0.0195,211748.2626
0.0208,212613.5523
0.0223,212013.714
0.0232,209856.7122
0.0236,209856.7122
0.0237,209856.7122
0.0238,209856.7122
0.0238,209856.7122
0.0242,209856.7122
0.0255,206013.3122
0.0272,201196.8471
0.0291,202679.6875
0.0311,197025.8384
0.0332,189649.3002
0.0355,181178.6084
0.037,174575.054
0.0376,174575.054
0.0378,171706.1663
0.038,171706.1663
0.038,171706.1663
0.0386,171706.1663
0.0406,164006.2539
0.0434,166657.6145
0.0464,158308.5494
0.0496,144228.8723
0.053,131243.11
0.0567,116801.1897
0.0606,105758.8283
0.0648,94333.89823
0.0652,94333.89823
0.0662,94333.89823
0.0664,94333.89823
0.0668,94333.89823
0.0678,84250.79616
0.0692,84250.79616
0.074,79132.77282
0.0791,70545.70223
0.0846,63840.35499
0.0904,56872.16307
0.0967,51643.5198
0.103,46298.23738
0.11,41532.47375
0.118,37170.58171
0.126,33309.29925
0.135,29752.02537
0.144,26557.81374
0.154,23596.35647
0.165,20940.20246
0.176,18748.64965
0.188,16625.62793
0.201,14636.4487
0.215,13019.6682
0.23,11407.84165
0.246,10134.01417
0.263,8786.678035
0.281,7745.988627
0.301,6773.189988
0.321,5957.350865
0.343,5242.147101
0.367,4505.912556
0.392,3943.480194
0.42,3413.495318
0.448,2963.270786
0.479,2593.43113
0.503,2304.175318
0.51,2233.244022
0.51,2233.244022
0.512,2233.244022
0.515,2176.175122
0.518,4235.143321
0.52,5028.56536
0.521,5028.56536
0.523,6143.660891
0.523,6143.660891
0.529,10089.99628
0.531,11233.90319
0.531,11233.90319
0.535,12310.76061
0.543,21054.24446
0.548,20871.90201
0.586,18048.42949
0.616,16249.79843
0.625,15786.85596
0.626,15547.16177
0.628,15547.16177
0.631,15373.75999
0.641,16152.69802
0.669,14400.09009
0.715,12390.76412
0.765,10543.03595
0.818,9066.39915
0.874,7653.28795
0.934,6522.328246
0.999,5557.072174
1.07,4657.833021
1.14,3978.827013
1.22,3311.916713
1.3,2834.683499
1.39,2372.097431
1.49,1974.452176
1.59,1659.494351
1.7,1398.249841
1.82,1159.660091
1.95,960.2899562
2.08,806.5046141
2.22,673.2038317
2.38,558.9193735
2.54,468.1640806
2.72,390.156853
2.9,329.2671051
3.11,268.9412104
3.32,224.1161305
3.55,185.5400921
3.79,155.3787487
4.06,128.7392814
4.33,106.533955
4.63,87.79139985
4.95,72.49065852
5.3,60.18178541
5.36,60.18178541
5.44,60.18178541
5.46,60.18178541
5.49,312.0153688
5.57,312.0153688
5.66,312.0153688
6.05,262.5008067
6.47,223.9957976
6.92,189.6991286
7.39,158.5938209
7.9,130.8766189
8.45,108.7899378
9.03,90.54703442
9.65,75.72800856
10.3,62.87666765
11,52.26872017
11.8,43.17186175
12.6,35.95441409
13.5,29.88105565
14.4,25.02801315
15.4,20.59264668
16.5,17.29482034
17.6,14.28100322
18.8,11.90479824
20.1,9.898713565
21.5,8.196614197
23,6.786466986
24.6,5.575843893
26.3,4.634041127
28.1,3.827552134
30,3.142246383
32.1,2.57411982
34.3,2.126445504
36.7,1.75572904
39.2,1.451361427
41.9,1.200967579
44.8,0.996181798
47.9,0.837138945
51.2,0.697322376
54.7,0.590219549
58.5,0.497660157
62.5,0.4258455
66.8,0.366202855
71.5,0.316492064
76.4,0.273484137
81.7,0.240649061
87.3,0.211041357
93.3,0.186634717
99.8,0.166698421
107,0.15169377
114,0.137813308
122,0.127981162
130,0.11714506
139,0.107179939
149,0.101219441
159,0.094781799
170,0.089727012
182,0.085322831
194,0.079766865
208,0.076335037
222,0.073678371
237,0.070587619
254,0.066749448
271,0.064180263
290,0.06220272
310,0.060681614
332,0.05765497
354,0.056037284
379,0.054287049
405,0.05215095
