Energy,Coeff
1.07E-02,3.70E+05
1.14E-02,3.56E+05
1.22E-02,3.42E+05
1.31E-02,3.27E+05
1.40E-02,3.13E+05
1.49E-02,2.98E+05
1.60E-02,2.84E+05
1.71E-02,2.71E+05
1.82E-02,2.57E+05
1.95E-02,2.45E+05
2.08E-02,2.32E+05
2.23E-02,2.19E+05
2.32E-02,2.12E+05
2.36E-02,2.09E+05
2.37E-02,2.08E+05
2.38E-02,2.13E+05
2.38E-02,2.13E+05
2.42E-02,2.11E+05
2.55E-02,2.03E+05
2.72E-02,1.92E+05
2.91E-02,1.82E+05
3.11E-02,1.72E+05
3.32E-02,1.62E+05
3.55E-02,1.52E+05
3.70E-02,1.46E+05
3.76E-02,1.44E+05
3.78E-02,1.43E+05
3.80E-02,1.84E+05
3.80E-02,1.83E+05
3.86E-02,1.77E+05
4.06E-02,1.57E+05
4.34E-02,1.37E+05
4.64E-02,1.22E+05
4.96E-02,1.09E+05
5.30E-02,9.79E+04
5.67E-02,8.81E+04
6.06E-02,7.92E+04
6.48E-02,7.12E+04
6.52E-02,7.05E+04
6.62E-02,6.89E+04
6.64E-02,6.85E+04
6.68E-02,7.03E+04
6.78E-02,6.87E+04
6.92E-02,6.65E+04
7.40E-02,6.00E+04
7.91E-02,5.42E+04
8.46E-02,4.90E+04
9.04E-02,4.43E+04
9.67E-02,4.01E+04
1.03E-01,3.64E+04
1.10E-01,3.30E+04
1.18E-01,3.00E+04
1.26E-01,2.72E+04
1.35E-01,2.47E+04
1.44E-01,2.22E+04
1.54E-01,2.00E+04
1.65E-01,1.80E+04
1.76E-01,1.61E+04
1.88E-01,1.44E+04
2.01E-01,1.28E+04
2.15E-01,1.14E+04
2.30E-01,1.01E+04
2.46E-01,8.92E+03
2.63E-01,7.86E+03
2.81E-01,6.90E+03
3.01E-01,6.05E+03
3.21E-01,5.29E+03
3.43E-01,4.62E+03
3.67E-01,4.03E+03
3.92E-01,3.51E+03
4.20E-01,3.06E+03
4.48E-01,2.66E+03
4.79E-01,2.30E+03
5.03E-01,2.08E+03
5.10E-01,2.02E+03
5.10E-01,2.01E+03
5.12E-01,1.99E+03
5.15E-01,1.06E+04
5.18E-01,1.05E+04
5.20E-01,1.04E+04
5.21E-01,1.22E+04
5.23E-01,1.45E+04
5.23E-01,1.45E+04
5.29E-01,1.41E+04
5.31E-01,1.40E+04
5.31E-01,1.40E+04
5.35E-01,2.22E+04
5.43E-01,2.15E+04
5.48E-01,2.10E+04
5.86E-01,1.81E+04
6.16E-01,1.61E+04
6.25E-01,1.55E+04
6.26E-01,1.55E+04
6.28E-01,1.54E+04
6.31E-01,1.64E+04
6.41E-01,1.59E+04
6.69E-01,1.44E+04
7.15E-01,1.23E+04
7.65E-01,1.05E+04
8.18E-01,8.93E+03
8.74E-01,7.60E+03
9.34E-01,6.45E+03
9.99E-01,5.46E+03
1.07E+00,4.59E+03
1.14E+00,3.85E+03
1.22E+00,3.23E+03
1.30E+00,2.71E+03
1.39E+00,2.27E+03
1.49E+00,1.90E+03
1.59E+00,1.60E+03
1.70E+00,1.34E+03
1.82E+00,1.12E+03
1.95E+00,9.43E+02
2.08E+00,7.91E+02
2.22E+00,6.60E+02
2.38E+00,5.51E+02
2.54E+00,4.60E+02
2.72E+00,3.83E+02
2.90E+00,3.20E+02
3.11E+00,2.65E+02
3.32E+00,2.18E+02
3.55E+00,1.80E+02
3.79E+00,1.48E+02
4.06E+00,1.22E+02
4.33E+00,1.01E+02
4.63E+00,8.35E+01
4.95E+00,6.92E+01
5.30E+00,5.73E+01
5.36E+00,5.56E+01
5.44E+00,5.33E+01
5.46E+00,5.27E+01
5.49E+00,3.48E+02
5.57E+00,3.33E+02
5.66E+00,3.18E+02
6.05E+00,2.66E+02
6.47E+00,2.24E+02
6.92E+00,1.89E+02
7.39E+00,1.59E+02
7.90E+00,1.33E+02
8.45E+00,1.11E+02
9.03E+00,9.30E+01
9.65E+00,7.75E+01
1.03E+01,6.46E+01
1.10E+01,5.38E+01
1.18E+01,4.45E+01
1.26E+01,3.69E+01
1.35E+01,3.05E+01
1.44E+01,2.53E+01
1.54E+01,2.09E+01
1.65E+01,1.73E+01
1.76E+01,1.44E+01
1.88E+01,1.19E+01
2.01E+01,9.91E+00
2.15E+01,8.24E+00
2.30E+01,6.85E+00
2.46E+01,5.69E+00
2.63E+01,4.72E+00
2.81E+01,3.90E+00
3.00E+01,3.22E+00
3.21E+01,2.67E+00
3.43E+01,2.22E+00
3.67E+01,1.85E+00
3.92E+01,1.54E+00
4.19E+01,1.29E+00
4.48E+01,1.09E+00
4.79E+01,9.23E-01
5.12E+01,7.85E-01
5.47E+01,6.72E-01
5.85E+01,5.79E-01
6.25E+01,5.02E-01
6.68E+01,4.38E-01
7.15E+01,3.86E-01
7.64E+01,3.42E-01
8.17E+01,3.06E-01
8.73E+01,2.75E-01
9.33E+01,2.49E-01
9.98E+01,2.28E-01
1.07E+02,2.10E-01
1.14E+02,1.94E-01
1.22E+02,1.81E-01
1.30E+02,1.70E-01
1.39E+02,1.61E-01
1.49E+02,1.52E-01
1.59E+02,1.45E-01
1.70E+02,1.39E-01
1.82E+02,1.33E-01
1.94E+02,1.28E-01
2.08E+02,1.23E-01
2.22E+02,1.18E-01
2.37E+02,1.14E-01
2.54E+02,1.11E-01
2.71E+02,1.07E-01
2.90E+02,1.04E-01
3.10E+02,1.01E-01
3.32E+02,9.79E-02
3.54E+02,9.50E-02
3.79E+02,9.23E-02
4.05E+02,8.97E-02
