Run Number,Hits,Average Energy
0,3896,0.00842000000000033
1,4098,0.008540000000000297
10,4228,0.018199999999999012
100,4326,2.71217369423655
101,4317,2.8885868686911516
102,3912,3.1002808689399624
103,3779,3.306169497431801
104,3758,3.5351984637734546
105,4320,3.77593497476
106,4059,4.043023919353044
107,3924,4.312918278889399
108,3816,4.6113589352591156
109,3554,4.92494704608371
11,4136,0.019499999999999188
110,4251,5.287087986150985
111,4094,5.640464330246895
112,4131,6.023374795305263
113,3789,6.450003924908199
114,3602,6.896856755054299
115,4358,7.355293179492833
116,4297,7.879093612921781
117,4059,8.425494067446957
118,3982,9.007088682973203
119,4012,9.608547673113549
12,3883,0.0207999999999995
120,3646,10.260160326693809
121,3602,10.9522642680902
122,4380,11.750213300675789
123,3809,12.566711983227535
124,4197,13.458528177065837
125,4008,14.34942407489356
126,4099,15.34540625170812
127,3757,16.45497919713975
128,3568,17.557430118609517
129,4343,18.766750540550806
13,3667,0.022300000000001034
130,4441,20.06751475126681
131,4112,21.4468049112979
132,4018,22.934643716070795
133,3972,24.544542199924212
134,3697,26.193012985911945
135,4432,27.99225885602439
136,3578,29.886106259466157
137,4225,32.01081941189019
138,3896,34.13453146197829
139,3711,36.522119334985994
14,3538,0.023799999999999356
140,4264,38.99713243659966
141,4242,41.66780335888377
142,3702,44.42481957000109
143,4303,47.55584625178159
144,3961,50.66701562281021
145,3805,54.11593916837503
146,4192,57.686981396499824
147,4151,61.534489790497084
148,4254,65.80005902276729
149,4379,70.29227979556734
15,4157,0.025499999999997948
150,4629,74.95926608005716
151,4935,79.96137819029255
152,5131,85.46873233938162
153,5410,91.0928038412885
154,5734,97.50286976511931
155,5787,104.47420496240089
156,5925,111.18192080790898
157,6130,118.75109293186719
158,6191,126.31975394312082
159,6254,135.08141403129363
16,4166,0.02719999999999741
160,6385,144.82876167043608
161,6464,154.26840591790042
162,6641,164.66625911056957
163,6732,175.85360548364758
164,6779,187.48392175629039
165,6833,200.7779554087108
166,6942,214.0998751041548
167,7086,228.69532520571732
168,7042,245.05152208031416
169,7194,260.4509983954094
17,4080,0.02909620588235264
170,7205,278.2801223697505
171,7314,298.11616075619463
172,7400,318.96650715912955
173,7477,338.8424876998063
174,7546,363.51601994668476
175,7674,387.33269583776246
176,7716,414.60743710814893
18,4017,0.031099999999997963
19,4029,0.03319999999999703
2,3921,0.010699999999999935
20,4125,0.03550000000000092
21,4264,0.03800000000000038
22,4330,0.04060000000000213
23,3629,0.043400000000000064
24,3824,0.04639142782427092
25,4091,0.04959999999999851
26,4266,0.05299999999999774
27,3882,0.05670000000000438
28,4140,0.06059999999999555
29,3943,0.06479999999999676
3,3899,0.011399999999999933
30,4231,0.06919999999999987
31,4387,0.07158937770685535
32,3985,0.07269999999999788
33,3998,0.07299999999999933
34,4027,0.0735000000000007
35,4019,0.07400000000000645
36,4122,0.0745999999999979
37,3891,0.07910000000000073
38,3887,0.0846000000000021
39,3934,0.09039999999999312
4,3833,0.01219999999999999
40,3702,0.09669999999999854
41,3628,0.10300000000000491
42,3692,0.11000000000000917
43,3862,0.11500000000000583
44,3861,0.1170000000000058
45,3804,0.11799999999999582
46,3868,0.1179999999999958
47,3831,0.11799999999999582
48,3984,0.12000000000000377
49,3733,0.12599999999999104
5,4398,0.013100000000000975
50,4126,0.13499999999999351
51,4354,0.1440000000000048
52,3753,0.15399999999999697
53,4200,0.1649999999999971
54,3804,0.17600000000000368
55,4356,0.18799999999999029
56,4128,0.20100000000001358
57,3560,0.21500000000000316
58,4075,0.230000000000012
59,3851,0.24599999999998703
6,4140,0.014000000000001038
60,4310,0.2630000000000031
61,4180,0.2809999999999735
62,3699,0.30100000000001087
63,4259,0.3209999999999926
64,4075,0.34300000000000813
65,3951,0.3669999999999779
66,3483,0.39200000000003166
67,4084,0.42000000000001864
68,3912,0.4480000000000297
69,3823,0.47900000000002896
7,4007,0.014899999999999036
70,3842,0.5119999999999584
71,3941,0.5479999999999899
72,3847,0.5859999999999911
73,3731,0.6260000000000073
74,4368,0.6689999999999904
75,3931,0.7150000000000134
76,3774,0.7649999999999942
77,4446,0.8180000000000844
78,4326,0.8739999999999176
79,4002,0.9340000000000778
8,4272,0.015999999999999105
80,3732,0.9989999999999194
81,3762,1.0700000000000698
82,4327,1.1392446944996761
83,4083,1.218597286411939
84,3817,1.2971317100172606
85,3841,1.3860099042155185
86,3952,1.4868363356879695
87,4118,1.523782821486503
88,4273,1.545931577858847
89,4287,1.5544006431838888
9,4322,0.01709999999999932
90,3573,1.5668712487062273
91,3651,1.5822655762696265
92,3799,1.5869133880775708
93,4235,1.694459674990241
94,3840,1.8136780829227044
95,3768,1.9429940458615536
96,4225,2.073083334084633
97,4219,2.211560495369776
98,3920,2.373109610009206
99,3662,2.532274860460742
