Energy,AtCoeff,,,,,
3.9999E-02,8.028569E+04,,,,,
4.060054E-02,7.785037E+04,,,,,
4.340198E-02,7.222951E+04,,,,,
4.639671E-02,8.660362E+04,,,,,
4.959809E-02,1.264584E+05,,,,,
5.302035E-02,1.723664E+05,,,,,
5.667876E-02,1.938268E+05,,,,,
6.058959E-02,1.799482E+05,,,,,
6.477028E-02,1.434702E+05,,,,,
6.5562E-02,1.36181E+05,,,,,
6.65655E-02,1.269957E+05,,,,,
6.68331E-02,1.245557E+05,,,,,
6.72345E-02,1.298132E+05,,,,,
6.8238E-02,1.199493E+05,,,,,
6.923942E-02,1.102305E+05,,,,,
7.401695E-02,7.395359E+04,,,,,
7.912411E-02,4.842536E+04,,,,,
8.458368E-02,3.187442E+04,,,,,
9.041995E-02,2.151825E+04,,,,,
9.665893E-02,1.508924E+04,,,,,
1.033284E-01,1.105198E+04,,,,,
1.05448E-01,1.020212E+04,,,,,
1.07062E-01,9.571767E+03,,,,,
1.074924E-01,9.406109E+03,,,,,
1.07996E-01,9.511856E+03,,,,,
1.08138E-01,9.550529E+03,,,,,
1.09649E-01,9.076564E+03,,,,,
1.09752E-01,9.045968E+03,,,,,
1.100898E-01,8.947416E+03,,,,,
1.104581E-01,1.064916E+04,,,,,
1.10751E-01,1.056251E+04,,,,,
1.12404E-01,1.009708E+04,,,,,
1.180797E-01,8.735893E+03,,,,,
1.262272E-01,7.395743E+03,,,,,
1.349368E-01,6.446679E+03,,,,,
1.442475E-01,5.756205E+03,,,,,
1.542005E-01,5.239763E+03,,,,,
1.648404E-01,4.843806E+03,,,,,
1.64934E-01,4.841089E+03,,,,,
1.674585E-01,4.768719E+03,,,,,
1.681317E-01,4.749974E+03,,,,,
1.691415E-01,5.089647E+03,,,,,
1.71666E-01,5.022382E+03,,,,,
1.762144E-01,4.907312E+03,,,,,
1.883732E-01,4.69698E+03,,,,,
2.013709E-01,4.522495E+03,,,,,
2.152655E-01,4.371126E+03,,,,,
2.301188E-01,4.235191E+03,,,,,
2.45997E-01,4.108598E+03,,,,,
2.629708E-01,3.98683E+03,,,,,
2.811158E-01,3.865808E+03,,,,,
3.005128E-01,3.741787E+03,,,,,
3.212482E-01,3.612637E+03,,,,,
3.434143E-01,3.476669E+03,,,,,
3.671099E-01,3.332584E+03,,,,,
3.924405E-01,3.180112E+03,,,,,
3.95626E-01,3.160819E+03,,,,,
4.016815E-01,3.124385E+03,,,,,
4.0229E-01,3.120748E+03,,,,,
4.032963E-01,3.114753E+03,,,,,
4.057185E-01,6.452065E+03,,,,,
4.084475E-01,6.473683E+03,,,,,
4.100895E-01,6.486839E+03,,,,,
4.11774E-01,8.78546E+03,,,,,
4.125525E-01,8.798491E+03,,,,,
4.1871E-01,8.900105E+03,,,,,
4.195189E-01,8.913997E+03,,,,,
4.484657E-01,9.408856E+03,,,,,
4.794098E-01,9.685322E+03,,,,,
5.124891E-01,9.541522E+03,,,,,
5.478508E-01,9.102238E+03,,,,,
5.60658E-01,8.882553E+03,,,,,
5.692395E-01,8.73572E+03,,,,,
5.7085E-01,8.708207E+03,,,,,
5.715279E-01,8.696632E+03,,,,,
5.749605E-01,1.620854E+04,,,,,
5.795875E-01,1.593559E+04,,,,,
5.819175E-01,1.580101E+04,,,,,
5.83542E-01,2.062727E+04,,,,,
5.856525E-01,2.045118E+04,,,,,
5.9415E-01,1.975021E+04,,,,,
6.0417E-01,1.900763E+04,,,,,
6.134175E-01,1.832072E+04,,,,,
6.158835E-01,1.813757E+04,,,,,
6.195825E-01,1.878528E+04,,,,,
6.260625E-01,1.829482E+04,,,,,
6.2883E-01,1.812529E+04,,,,,
6.37686E-01,1.758355E+04,,,,,
6.474465E-01,1.698859E+04,,,,,
6.500493E-01,1.68305E+04,,,,,
6.539535E-01,1.696617E+04,,,,,
6.63714E-01,1.637261E+04,,,,,
6.692609E-01,1.603678E+04,,,,,
7.154399E-01,1.386272E+04,,,,,
7.54796E-01,1.235537E+04,,,,,
7.648052E-01,1.198309E+04,,,,,
7.66349E-01,1.193264E+04,,,,,
7.694298E-01,1.183233E+04,,,,,
7.74051E-01,1.192425E+04,,,,,
7.85604E-01,1.155079E+04,,,,,
8.02326E-01,1.10255E+04,,,,,
8.146065E-01,1.066391E+04,,,,,
8.175768E-01,1.0578E+04,,,,,
8.178813E-01,1.056978E+04,,,,,
8.227935E-01,1.119758E+04,,,,,
8.35074E-01,1.086139E+04,,,,,
8.52306E-01,1.04056E+04,,,,,
8.653515E-01,1.007142E+04,,,,,
8.688303E-01,9.983832E+03,,,,,
8.739896E-01,1.015907E+04,,,,,
8.740485E-01,1.015799E+04,,,,,
8.87094E-01,9.858957E+03,,,,,
9.342948E-01,8.840031E+03,,,,,
9.8588E-01,7.906457E+03,,,,,
9.987612E-01,7.68792E+03,,,,,
1.00097E+00,7.652037E+03,,,,,
1.004994E+00,7.58474E+03,,,,,
1.01103E+00,7.680556E+03,,,,,
1.02612E+00,7.43109E+03,,,,,
1.067676E+00,6.778727E+03,,,,,
1.141345E+00,5.816766E+03,,,,,
1.220098E+00,4.988958E+03,,,,,
1.304285E+00,4.278373E+03,,,,,
1.394281E+00,3.665797E+03,,,,,
1.490486E+00,3.135074E+03,,,,,
1.593329E+00,2.679258E+03,,,,,
1.703269E+00,2.284873E+03,,,,,
1.820795E+00,1.948177E+03,,,,,
1.94643E+00,1.662967E+03,,,,,
2.080733E+00,1.42069E+03,,,,,
2.224304E+00,1.214195E+03,,,,,
2.377781E+00,1.036539E+03,,,,,
2.541848E+00,8.83089E+02,,,,,
2.717235E+00,7.52091E+02,,,,,
2.904724E+00,6.412938E+02,,,,,
3.10515E+00,5.416711E+02,,,,,
3.319406E+00,4.53185E+02,,,,,
3.46675E+00,4.044029E+02,,,,,
3.519812E+00,3.876326E+02,,,,,
3.533962E+00,3.832279E+02,,,,,
3.548445E+00,7.506991E+02,,,,,
3.555187E+00,7.473032E+02,,,,,
3.60825E+00,7.212964E+02,,,,,
3.65246E+00,7.003124E+02,,,,,
3.708365E+00,6.745836E+02,,,,,
3.723273E+00,6.676258E+02,,,,,
3.745635E+00,8.319089E+02,,,,,
3.793288E+00,8.051649E+02,,,,,
3.80154E+00,8.00885E+02,,,,,
3.93764E+00,7.330601E+02,,,,,
3.99791E+00,7.043096E+02,,,,,
4.013982E+00,6.968302E+02,,,,,
4.03809E+00,7.660276E+02,,,,,
4.055024E+00,7.57699E+02,,,,,
4.09836E+00,7.378403E+02,,,,,
4.254572E+00,6.71958E+02,,,,,
4.319693E+00,6.451823E+02,,,,,
4.334821E+00,6.390068E+02,,,,,
4.337059E+00,6.382344E+02,,,,,
4.363107E+00,9.342707E+02,,,,,
4.428228E+00,8.964742E+02,,,,,
4.51976E+00,8.454709E+02,,,,,
4.58894E+00,8.092871E+02,,,,,
4.607388E+00,8.000971E+02,,,,,
4.633924E+00,9.297738E+02,,,,,
4.63506E+00,9.291606E+02,,,,,
4.70424E+00,8.926838E+02,,,,,
4.840416E+00,8.251113E+02,,,,,
4.914504E+00,7.912136E+02,,,,,
4.934261E+00,7.824013E+02,,,,,
4.953664E+00,8.387003E+02,,,,,
4.963896E+00,8.344432E+02,,,,,
5.037984E+00,8.043169E+02,,,,,
5.295467E+00,7.075826E+02,,,,,
5.660855E+00,5.986891E+02,,,,,
6.051453E+00,5.053131E+02,,,,,
6.469004E+00,4.257274E+02,,,,,
6.915365E+00,3.583625E+02,,,,,
7.392525E+00,3.014322E+02,,,,,
7.902609E+00,2.534344E+02,,,,,
8.44789E+00,2.13164E+02,,,,,
9.030794E+00,1.789549E+02,,,,,
9.653919E+00,1.490157E+02,,,,,
1.032004E+01,1.240523E+02,,,,,
1.103212E+01,1.033266E+02,,,,,
1.179334E+01,8.614619E+01,,,,,
1.260708E+01,7.188357E+01,,,,,
1.347697E+01,6.00513E+01,,,,,
1.440688E+01,5.022939E+01,,,,,
1.540095E+01,4.20503E+01,,,,,
1.646362E+01,3.518153E+01,,,,,
1.759961E+01,2.944512E+01,,,,,
1.881398E+01,2.463681E+01,,,,,
2.011215E+01,2.060359E+01,,,,,
2.149988E+01,1.723925E+01,,,,,
2.298338E+01,1.440773E+01,,,,,
2.456923E+01,1.205857E+01,,,,,
2.617698E+01,1.02047E+01,,,,,
2.62645E+01,1.01088E+01,,,,,
2.657764E+01,9.808539E+00,,,,,
2.668449E+01,9.707369E+00,,,,,
2.684476E+01,2.925889E+01,,,,,
