Energy,Optimal_Thickness,AtCoefficient
0.0061305,8.6262840234375E-06,44533.497825952500
0.006222,8.35026664248047E-06,44546.20140368060
0.01069,7.86279521849167E-06,50253.70344800250
0.01142761,7.13898946178753E-06,53370.60976244500
0.01221612,7.00225954546578E-06,56698.323559333
0.01305903,6.60190291973609E-06,60290.57524284180
0.0139601,5.9944308832036E-06,64038.726845355800
0.01492335,5.87962879681162E-06,67543.03174827060
0.01595306,5.54345957327181E-06,70895.22875608030
0.01705382,4.3778284064977E-06,73805.28499190330
0.01823053,4.78948424690187E-06,75554.39190323160
0.01948844,4.56055139037584E-06,76331.00012141930
0.02083314,5.22141572733674E-06,75454.60755765160
0.02227063,5.02746498338985E-06,73183.54237265540
0.0238073,5.66844040763778E-06,69259.87656389650
0.02545001,5.5768386545459E-06,64196.40740416780
0.02720606,6.73018504952474E-06,58100.511913238600
0.02908327,7.6384208982345E-06,51641.16993469080
0.03109002,8.18726883273498E-06,45163.56670840050
0.032928,9.65969183735604E-06,39773.74557606780
0.03323523,9.82697775731252E-06,38973.88042979030
0.033432,1.02188751096892E-05,38417.574737843500
0.0335664,9.74959324948647E-06,38081.81187535920
0.033768,9.16736363360359E-06,37612.99610519480
0.034272,1.04910041897515E-05,36296.34411057290
0.034888,1.12463091794324E-05,34744.87327027810
0.035422,1.08171526116952E-05,33542.74698466020
0.03552846,1.01793049116893E-05,33322.7858367165
0.0355644,1.16493954788603E-05,33171.432926369300
0.03577,1.12166015839665E-05,32737.22354503780
0.035778,1.05562852763045E-05,32745.44784529420
0.0363175,1.20808644632641E-05,32366.57299101090
0.0364635,1.16320414731262E-05,32085.33305343060
0.0366825,1.09472684677934E-05,31693.319228180200
0.03723,1.25283149486988E-05,30572.989371456300
0.03797993,1.34303041615557E-05,29136.643987608200
0.04060054,1.43817469746025E-05,25503.108559830900
0.04340198,9.12985291289453E-06,38271.441713187800
0.045864,1.13211292881404E-05,35354.27723222320
0.04639671,1.15313154040344E-05,34726.41176167910
0.046566,1.09107089357092E-05,34576.19085251260
0.0467532,1.11984375332238E-05,34285.22741361040
0.047034,1.06031787677811E-05,33940.6787656164
0.04773600000000000,1.21372000179657E-05,32880.157378508800
0.04959809,1.30110760592576E-05,30096.657473094900
0.05302035,1.25145772282668E-05,31629.937145657700
0.05667876,1.41085938155741E-05,27987.755357159600
0.06058959,1.57285456636767E-05,23982.369581178800
0.06477028,1.79817912456928E-05,20096.238982795200
0.06923942,2.24156979678872E-05,16908.459340345900
0.07401695,2.6511447863015E-05,14555.667425013200
0.075558,2.69722287288066E-05,14014.127844762800
0.0767145,2.55178615727258E-05,13663.76762800030
0.0770229,2.92088174434781E-05,13551.910846457500
0.0774855,2.81237473333834E-05,13448.355664887200
0.078642,2.64681227561873E-05,13167.066612798200
0.07912411,3.029075083612E-05,13039.590265497200
0.08458368,2.9165402120695E-05,12472.209282412800
0.09041995,3.28838158208141E-05,12227.047160260800
0.09665893,3.01987634354013E-05,12531.776131756400
0.1,2.84303985352663E-05,12850.30825785620
0.1005,2.66970321601391E-05,12922.925226565700
0.1010025,3.05502300321857E-05,12950.675289997200
0.10150751,2.94152041001093E-05,13022.907435462700
0.10201505,2.76835409469613E-05,13093.773609692600
0.10252513,2.84081992623523E-05,13147.813265548200
0.10303775,2.95652461884111E-05,13202.79703330120
0.10355294,2.82078737857858E-05,13283.566859704200
0.1040707,2.65233790818034E-05,13360.771980441800
0.10459106,2.72167963597857E-05,13421.378353055400
0.10511401,2.57695505989766E-05,13509.81547800750
0.10563958,2.94977541142742E-05,13552.865692316000
0.10616778,2.84019629518753E-05,13634.53430312550
0.10669862,2.67299611842366E-05,13720.865749770600
0.10723211,2.74296585610997E-05,13802.782437105400
0.10776827,2.59711700835068E-05,13890.888423183800
0.10830712,2.66567054492247E-05,13959.771877189900
0.10884865,2.52398102141317E-05,14056.525312256100
0.10939289,2.59060584994078E-05,14137.34119050370
0.10993986,2.4529064272533E-05,14239.033228768500
0.11048956,2.51765512501073E-05,14319.809051470100
0.11104201,2.38383327944261E-05,14413.87631164480
0.11159722,2.72871601423825E-05,14478.16052097160
0.1121552,2.62734891015189E-05,14578.499313024500
0.11271598,2.47267889871034E-05,14678.912855258800
0.11327956,2.53740502870069E-05,14768.786498482000
0.11384596,2.64075183981382E-05,14848.80399703490
0.11441519,2.51951206913997E-05,14963.792235989000
0.11498726,2.6035568157677E-05,15032.943653259700
0.1155622,2.48375272170501E-05,15152.453651154900
0.11614001,2.56657608228913E-05,15231.06722219910
0.11672071,2.44847325600059E-05,15343.65303254970
0.11730431,2.53012014132125E-05,15426.576169223100
0.11789083,2.41369486046794E-05,15541.23976879990
0.11848029,2.26953114208358E-05,15640.639536411000
0.11907269,2.32886401277019E-05,15733.91765343670
0.11966805,2.20502722284353E-05,15852.184245174000
0.12026639,2.26323091467826E-05,15941.079268219500
0.12086772,2.14293241594093E-05,16049.738418169400
0.12147206,2.45296264456411E-05,16116.167328694500
0.12207942,2.36183930352086E-05,16233.920322431900
0.12268982,2.22279963859069E-05,16337.996513798500
0.12330327,2.28098479899472E-05,16432.789521931200
0.12391979,2.37388778551329E-05,16513.864404255900
0.12453939,2.26490003195696E-05,16636.492615015200
0.12516208,2.34045154514654E-05,16714.408808379200
0.12578789,2.23275438433724E-05,16834.722212413700
0.12641683,2.09939780597037E-05,16935.600498615100
0.12704892,2.15428284332465E-05,17021.677263729800
0.12768416,2.03972936567004E-05,17138.32818227970
0.12832258,2.09356987076895E-05,17226.47046662010
0.12896419,1.9822894394082E-05,17326.01837452360
0.12960902,2.26907853435369E-05,17399.187642408100
0.13025706,2.18478617156617E-05,17509.74387582260
0.13090835,2.05616948846424E-05,17611.234035137500
0.13156289,2.10999285132029E-05,17686.092126488600
0.1322207,1.99780041354793E-05,17793.76116019840
0.13288181,2.05053438097168E-05,17875.71897538310
0.13354621,1.94154145236966E-05,17989.32226617810
0.13421395,1.99279178477943E-05,18071.55208503280
0.13488502,1.88686819230906E-05,18175.03191395700
0.13555944,2.15985215806547E-05,18233.357235135800
0.13623724,2.07961736727888E-05,18335.31176580590
0.13691842,1.95719189088012E-05,18429.475841514500
0.13760302,2.00842436461992E-05,18494.69926829180
0.13829103,1.90163252150677E-05,18602.24575521210
0.13898249,1.95182803991845E-05,18674.286779985600
0.1396774,1.84808169156536E-05,18787.512639678300
0.14037579,2.1154541885528E-05,18821.805393671700
0.14107766,2.03686870585695E-05,18914.808390147700
0.14178305,1.91695981030063E-05,19008.493875244800
0.14249197,1.96713914815638E-05,19092.609848655800
0.14320443,2.04725941105418E-05,19149.095667325900
0.14392045,1.95326751913769E-05,19247.936699282400
0.14464005,1.8366238891954E-05,19329.506275561900
0.14536325,1.884639895527E-05,19403.48683523200
0.14609007,1.78442468050328E-05,19502.069627790000
0.14682052,2.0425858906138E-05,19533.800517768200
0.14755462,1.96670731495328E-05,19613.996090408200
0.14829239,1.85092876427347E-05,19690.575042853700
0.14903386000000000,1.89937963901273E-05,19766.40456984740
0.14977903,1.97674010237751E-05,19818.261133990600
0.15052792,1.88598582812838E-05,19913.02295859560
0.15128056,1.77336007110471E-05,19990.66214753670
0.15203696,1.81972213189641E-05,20048.41127321150
0.15279715,1.72295890133749E-05,20144.232070852500
0.15356113,1.9722275646775E-05,20155.2533205112
0.15432894,1.89896268060392E-05,20231.064327888900
0.15510058,1.78717220457135E-05,20314.57387471340
0.15587609,1.83395415441865E-05,20366.722215246100
