Energy,Optimal_Thickness,AtCoefficient
0.32610438,2.153236330393067e-05,17207.018308236344
0.32773491,2.1906420990663764e-05,17119.266859799172
0.32937358,2.0725190688048877e-05,17044.66430274084
0.33102045,2.1271657638626763e-05,16956.845036836283
0.33267555,2.0140944574032672e-05,16884.601140891373
0.33433893,2.3054847522566294e-05,16760.734868919862
0.33601062,2.2198399579453973e-05,16694.562402929805
0.33769068,2.0891596850816512e-05,16624.87001356619
0.33937913,2.3908841652023685e-05,16511.84155035393
0.34107602,2.302059083353364e-05,16442.180941416078
0.3427814,2.1665379093506352e-05,16364.705325342575
0.34449531,2.223250307008227e-05,16287.252605380942
0.34621779,2.1050357469933886e-05,16216.973297128878
0.34794888,2.409581541722926e-05,16101.61512507588
0.34968862,2.3200697085290642e-05,16027.325724611366
0.35143706,2.183488985208413e-05,15964.29700594778
0.35319425,2.4988368657163443e-05,15856.37618926951
0.35496022,2.4060011723949905e-05,15793.242652194365
0.35673502,2.4885564271058416e-05,15692.639281004958
0.3585187,2.374078015482588e-05,15626.93429779697
0.36031129,2.2322837030331688e-05,15560.77466511892
0.36211285,2.5545938412659943e-05,15453.690162265608
0.36392341,2.459685422848592e-05,15387.626128881473
0.36574303,2.3148847408252187e-05,15313.771245152531
0.36757174,2.375480336289653e-05,15235.600191502272
0.3694096,2.2491714079991462e-05,15167.92521087137
0.37125665,2.5745700122167467e-05,15054.862629706204
0.37311293,2.4789291395218e-05,14980.520617462027
0.3749785,2.332996483407241e-05,14920.344425835856
0.37685339,2.6699368120550213e-05,14805.226893135157
0.37873766,2.5707444884295744e-05,14746.744700620062
0.38063135,2.4194059265079503e-05,14665.372269914487
0.3825345,2.4827375259261065e-05,14585.805120628962
0.38444718,2.3507255237981795e-05,14520.751642168174
0.38636941,2.6908164575785895e-05,14412.618648228261
0.38830126,2.5908572282537118e-05,14337.033041072005
0.39024276,2.4383354514490918e-05,14277.849744676372
0.39219398,2.7904892391671588e-05,14165.22532888697
0.39415495,2.686818204543778e-05,14104.855272013052
0.39612572,2.5286464356065655e-05,14023.677825000426
0.39810635,2.5948375701224362e-05,13945.633867424196
0.40009688,2.45686498975438e-05,13878.758444906089
0.40209737,2.8123116380674146e-05,13768.945243178661
